"path",size,mtime,sha256
"\addon_items.xml",16291,2026-01-23 03:42:13,487a7c572da3431c979b777786ecc747c4a8b6e094a19f84ca81a1482e408ff2
"\addon_missions.xml",4700,2026-01-23 03:25:00,d8ac4f835aefc353ffdb947c38ed533eaf45c6edb6ef12629915082bdf6beba8
"\bink2w64.dll",435712,2016-09-28 04:34:42,413f2005a06f84903cdbb2167f80b7e4b1427a742ff82e1906a25d4bb33f206a
"\data.bin",7324,2025-10-19 11:15:31,19bc00b23f88d41ed05ea94f1d4f8ba00e3d97f37f621febc79f7fea2d7daf1d
"\data.bin.bak",7327,2025-10-19 11:15:30,078e154c482f43666700fbad53689ae00a46c81f0e73db40077311d092a5caa6
"\dinput8.dll",32057040,2026-06-30 23:11:23,ab845934fe338662a3a6226da92341164aea14c4781d999198aff71bd8597031
"\GFSDK_SSAO.win64.dll",710656,2016-09-28 04:34:51,3746c645d4e400b491fd5128a6db6dc89abebb1ef845360b644dee92505fcb1d
"\GFSDK_TXAA_AlphaResolve.win64.dll",94720,2016-09-28 04:34:51,ea16a83d69283efb69633fa170f552b50acf9dfa07cac72d7bdb37d783ece241
"\LogitechSteeringWheel.dll",186880,2016-09-28 04:34:52,e4e20758ae8729db476b01e59192a2affa883de8b37d4805a6a595203120f9d8
"\server.ini",125,2026-07-06 13:46:05,b44658dbcd7bff360ef7cb57fbdfef82d065b8e993a159ebb0da9e78cccf8f9f
"\systemdetection64.dll",319064,2017-03-22 20:49:22,74fe5802b4a61ccd8ab43eaac422e2960aafcf0addc591d06f9d51e06afd26fc
"\tcu.manifest.cheats.xml",3185,2026-02-04 03:36:44,907844c08b546d3b1e94d53a2d9c269fe931d1bb2f84d9723b33da5d17000a17
"\tcu.manifest.patch.xml",290,2026-07-06 13:45:53,e9f48cd8f6058cc3c00b9dd5cbe9dd2cdf2cbf3cba876fe94e219ac1f78878eb
"\TheCrew.exe",75067992,2017-03-22 20:49:29,46b5a84e252861fa2f5cab470af7df0a7b5c1438ec8d786aa0cbc42d0a88a07a
"\TheCrew.ico",110585,2016-11-30 14:41:25,bd3af5289cb5927b5fcbcf4892f2f63a100168ec49158de66bd702786a20f477
"\TheCrewLauncher.exe",476248,2017-03-22 20:49:28,680b734d4702295453accbdf6308bf37ca5d20f7e09f14724575b753f26b4a82
"\uplay_install.manifest",1202416,2023-12-29 07:36:06,88e0617a7eaf9d729c8364c7bb3c0e2e9f393fb411497bdd11272f4457e50244
"\uplay_install.state",1009,2023-12-29 08:09:22,43adf9d29ccdd930ddff2df1adb502fa38e2c5f279147569158d4775122a8c50
"\uplay_r1_loader64.dll",327880,2023-12-29 08:09:22,0202897a9a821b2f887451bf2d988f40201c50ffa707d95a7fe5608c2f78d26e
"\_How To Play!!.txt",405,2024-12-24 09:50:59,3543d5c0ee99ab191024d95deba8c7fc7caa5e4906a13ca86521b2eaa4cfb74a
"\_Join My Discord For More Games!.url",190,2024-05-26 07:44:59,16fa50b56d8eb3a5b06b8e1011a065be0706f0201c552c8cdd655625a28167d0
"\_The Crew Unlimted Discord.url",182,2024-12-23 11:58:42,f81b959b6abe55707806ff374b7fe91e212db6c1691d6445d666d07951d1ada1
"\data\Databases\GPU\extendedpcidevs.txt",100992,2016-09-28 04:34:42,20fce1a3b08c79bd47f5a64d2aaae6648761f11158fa82293cd3fe5b5771bfcb
"\data\Databases\GPU\gear_gpu_scores.txt",33764,2016-09-28 04:34:42,1135edbc6386e40c3573c394146ea41af2199b4ce8d9fcda20282f2dbf631d32
"\data\Databases\GPU\gpudatabase.xml",34480,2015-01-20 08:00:07,5038b4ad663d3e2ddd5e3588807572c82253dbaed85f7886c675ad89844cb9ce
"\data\Databases\GPU\gpudatabase_win64.dll",79448,2017-03-22 20:49:22,15d0ee00fd8946f3832ed7a1e180ce53268ca3d1cafaaccd185c6faa620898f6
"\data\Databases\GPU\pcidevs.txt",861121,2015-01-20 08:00:11,9a648b1e2be2dd03fe043a417bc2141f9ceb7d303b0e4f8d5064075f7b700211
"\data_win32\centralplains.dat",38869798,2015-01-20 08:03:00,04b55193e61088c9f990e159dd25c21435ab84ab1bff59733729d3b18bf7a2b7
"\data_win32\centralplains.fat",99304,2015-01-20 08:02:52,b539072f7a808a8b2bfdad054bc750f3723f0523c027b2c90496ac59a0a59e08
"\data_win32\centralplains_patch.dat",22601041,2016-09-28 04:41:16,9b4b96654a36ed723cf3e54ffcca7c1e5c8379230d7a411cbfe05bf4c25a363b
"\data_win32\centralplains_patch.fat",73120,2016-09-28 04:41:16,03403feb57ac0d4958b3aa4e7565ae43b621f544496b87d1f09de81a594e72af
"\data_win32\centralplains_patch_1.dat",3220,2016-11-30 14:42:08,845f9a6624dfd927e828ecf1b289a107ccc66f41d950898e0369bc8b48d6f593
"\data_win32\centralplains_patch_1.fat",40,2016-11-30 14:42:09,5eda67fb1c715f4967143095efb2946fedb4011c41e90955d67bab9b3a204d2f
"\data_win32\citycentralplains.dat",33590141,2015-01-20 08:03:08,0609a1ba8e2503ebda26cd75a8dcf1cfe69a14e2709dd07c21e586e81036a288
"\data_win32\citycentralplains.fat",81904,2015-01-20 08:03:08,65298013e6bde3b278d45d1c6535885f4396f66600270f3a03fd86199b94fbfa
"\data_win32\citycentralplains2.dat",32888048,2015-01-20 08:03:23,5bf92427c2b6aba5f6bc3ac0110288a9a07feb69fe062a568c37ff954543483d
"\data_win32\citycentralplains2.fat",116608,2015-01-20 08:03:21,8be6939acb849ad0e8517baf5fcb056db625b79f55b1589b051b951a122fa500
"\data_win32\citycentralplains2_patch.dat",23403847,2016-09-28 04:41:21,6208163b60da61d853288f5cf7de4d9e6c38cb9a16393220d4e71bef84aea50d
"\data_win32\citycentralplains2_patch.fat",80536,2016-09-28 04:41:20,10daa781c0f2c8bbc6637ccbd5b33a0f832dab3f3f128369ff095c9a212e351a
"\data_win32\citycentralplains_patch.dat",22876436,2016-09-28 04:41:25,a8aed3a6955e4d2a2086ed0ca7b2f9edb440679e6154ab9e78034e02b4e70024
"\data_win32\citycentralplains_patch.fat",47512,2016-09-28 04:41:23,45433c24c684726741c350770736ddcbcb392c3a699f3c30499e8e9ac60d99cd
"\data_win32\citycentralplains_patch_1.dat",128527,2016-11-30 14:42:09,2b2c5f8d108698314b9b3c4a7f5c2e78d25fe92f4c087197007f502526b3e6f8
"\data_win32\citycentralplains_patch_1.fat",256,2016-11-30 14:42:10,7073b681f6b431c91b337830266ec915084a3da8e89e41428aa9673f4706b29b
"\data_win32\cityfarwest.dat",33671780,2023-12-29 08:09:22,6455530e727265044338598adea0365cca63614d34133913b228b8c2d8d99729
"\data_win32\cityfarwest.fat",99520,2023-12-29 08:09:22,7c92686418472ada7e49cfc0844a1e478b6fe5d7eb4e1072a8eff6d6f10b59f3
"\data_win32\cityfarwest_patch.dat",25967828,2023-12-29 08:09:22,8a0e950dc5c5f9233dbc83a254602a2c52c4aa899f2e96161d96f67d2921544a
"\data_win32\cityfarwest_patch.fat",65728,2023-12-29 08:09:22,d3cf01ae4bf576047647cc904a8c940fb6dd20477a02769d93becef2d805c626
"\data_win32\citynewengland.dat",35566167,2023-12-29 08:09:22,0fad550efc5f0177f7c3d3466c66c93aac3cdeca1f65e8e5da91006ccbe04dae
"\data_win32\citynewengland.fat",148840,2023-12-29 08:09:22,94cd6668773bfc4e5d986c7013dc09a7e5997153a0c2f31c157676751fc66eac
"\data_win32\citynewengland_patch.dat",28270411,2023-12-29 08:09:22,afce8ac1d87da8414dc8465c6b069c09d2b28070396e57cd10859c66696788b9
"\data_win32\citynewengland_patch.fat",103528,2023-12-29 08:09:22,8c3aa068b489d06f4e598d66c1919abf1c795511f08d4e0879770f3fc55d077e
"\data_win32\citysouthatlantic.dat",39159535,2023-12-29 08:09:22,98725b86d0e1f635ca1137752a6b0823db62b64cf3cae421640973c225729091
"\data_win32\citysouthatlantic.fat",160912,2023-12-29 08:09:22,483caacb7efc7b2e0aa8a6c736b1be878589619059cfe1f0a96d35cc60ed5dcb
"\data_win32\citysouthatlantic_patch.dat",29876601,2023-12-29 08:09:22,88166d8759639c34135e14ad3bce4e413e0bf9f37e552bbc7124847d050ea9ba
"\data_win32\citysouthatlantic_patch.fat",106624,2023-12-29 08:09:22,7cf4c3ddcac5d7d5f7203c57309422d0e2f9fed71f69d3d86b95c38cd76ea31c
"\data_win32\citysouthpacific.dat",50038326,2023-12-29 08:09:22,c35c0e58df5e02d75d79610879beef97fa631741bf2b637f736921d9f879dd7d
"\data_win32\citysouthpacific.fat",172864,2023-12-29 08:09:22,c5c572092ebb1d5c3306c2dea3936a2cb601ebe2429e12f1ea29c289221569ab
"\data_win32\citysouthpacific_patch.dat",40779850,2023-12-29 08:09:22,e5da7c184871f4c811ceebb9051703935dd7a6eec76d95bcf1da14263e998cc0
"\data_win32\citysouthpacific_patch.fat",120472,2023-12-29 08:09:22,1ed0004bb8459edee705d28219605809c5a59fce8f219ee4b4d0604e47fa31d2
"\data_win32\common.dat",276000614,2023-12-29 08:09:22,
"\data_win32\common.fat",154624,2023-12-29 08:09:22,afff93345f984034689afdc5b27af493a4365b1695986f9fd75816ce7733e079
